"id","variety","fermtype","region","district","altitude","year","humidity","rain","temp_max","temp_min","temp_avg","cyanidol3G","delphinidol3G","peonidol3G","petunidol3G","malvidol3G","weather"
50,"Mavro","XZ","LAONA","Limassol",832,"2013",63,570.5,22.3,11.7,17,3.872,2.137,6.521,3.593,70.516,-0.0328757180937926
51,"Mavro","Z","MALLIA","Paphos",393,"2013",51,351.4,22,13.5,17.8,3.118,2.18,3.212,3.671,62.705,-2.34279492649959
52,"Mavro","XZ","MALLIA","Paphos",393,"2013",51,351.4,22,13.5,17.8,3.192,2.229,2.755,3.829,61.122,-2.34279492649959
53,"Mavro","Z","OMODOS","Limassol",810,"2013",63,412.2,22.3,11.7,17,3.552,2.264,4.927,3.46,75.829,-0.284123135481021
54,"Mavro","XZ","OMODOS","Limassol",810,"2013",63,412.2,22.3,11.7,17,3.588,2.183,4.95,3.491,72.935,-0.284123135481021
55,"Mavro","Z","VASA","Limassol",823,"2013",63,570.5,22.3,11.7,17,3.664,2.962,4.128,3.187,73.518,-0.0328757180937926
56,"Mavro","XZ","VASA","Limassol",823,"2013",63,570.5,22.3,11.7,17,3.719,2.585,4.246,3.683,71.743,-0.0328757180937926
57,"Mavro","Z","VP","Limassol",837,"2013",57,444.4,21.2,13.3,17.3,4.827,3.629,5.781,4.924,83.582,-1.16206165339296
58,"Mavro","XZ","VP","Limassol",837,"2013",57,444.4,21.2,13.3,17.3,4.762,3.518,5.917,4.846,83.719,-1.16206165339296
59,"Mavro","Z","LAONA","Limassol",793,"2014",68,567.7,22.2,11.7,17,3.442,2.348,6.205,2.733,62.275,0.606781542736114
60,"Mavro","XZ","LAONA","Limassol",793,"2014",68,567.7,22.2,11.7,17,3.648,2.487,6.182,3.073,65.749,0.606781542736114
61,"Mavro","Z","MALLIA","Paphos",393,"2014",51,351.4,22,13.5,17.8,3.218,1.982,3.105,2.877,63.41,-2.34279492649959
62,"Mavro","XZ","MALLIA","Paphos",393,"2014",51,351.4,22,13.5,17.8,3.144,2.061,3.095,3.233,64.215,-2.34279492649959
63,"Mavro","Z","OMODOS","Limassol",810,"2014",68,556.8,22.2,11.7,17,3.495,1.618,5.062,3.419,71.351,0.589481499466873
64,"Mavro","XZ","OMODOS","Limassol",810,"2014",68,556.8,22.2,11.7,17,3.522,1.795,4.816,3.55,70.037,0.589481499466873
65,"Mavro","Z","VASA","Limassol",823,"2014",68,567.7,22.2,11.7,17,4.022,2.642,4.256,3.55,75.916,0.606781542736114
66,"Mavro","XZ","VASA","Limassol",823,"2014",68,567.7,22.2,11.7,17,4.067,2.774,3.953,3.408,73.523,0.606781542736114
67,"Mavro","Z","VP","Paphos",837,"2014",63,578.8,21,13.1,17.1,4.375,3.482,5.628,4.842,83.924,-0.0717434564444277
68,"Mavro","XZ","VP","Paphos",837,"2014",63,578.8,21,13.1,17.1,4.612,3.59,5.759,4.88,84.836,-0.0717434564444277
69,"Mavro","Z","VP","Paphos",837,"2015",63,609.8,21.3,12.7,17,4.824,3.408,5.972,5.073,85.508,0.029499667271451
70,"Mavro","XZ","VP","Paphos",837,"2015",63,609.8,21.3,12.7,17,4.716,3.35,5.894,4.978,84.922,0.029499667271451
71,"Mavro","Z","LAONA","Limassol",793,"2015",68,774.1,21.8,11.4,16.6,3.422,2.722,6.028,2.829,76.284,1.14253601607535
72,"Mavro","XZ","LAONA","Limassol",793,"2015",68,774.1,21.8,11.4,16.6,3.492,2.542,6.428,2.772,75.586,1.14253601607535
73,"Mavro","Z","OMODOS","Limassol",810,"2015",68,699.6,21.8,11.4,16.6,3.65,2.294,4.228,3.584,73.825,1.02429260106999
74,"Mavro","XZ","OMODOS","Limassol",810,"2015",68,699.6,21.8,11.4,16.6,3.68,2.108,4.286,3.549,72.819,1.02429260106999
75,"Mavro","Z","VASA","Limassol",823,"2015",68,774.1,21.8,11.4,16.6,4.082,2.374,4.281,3.779,73.595,1.14253601607535
76,"Mavro","XZ","VASA","Limassol",823,"2015",68,774.1,21.8,11.4,16.6,4.094,2.672,3.948,3.592,74.839,1.14253601607535
